233;CONFECTION FLEXIBLE;"1""1/2 LG= 5000 MM FF";999,33;
234;GASOIL;;11,83;
235;POLYAMIDE;D 40X200 PA6;33,00;
236;ACIER ROND;42CD 4 D 130X35MM;114,75;
237;FRAIS DE COUPE;;40,00;
238;BRIDE;D 180 EP 5MM S235JR;450,73;
239;VIROLE;D 810 EXT 950MM EP 5MM;2 343,36;
240;JOINT TORIQUE;90X6MM;13,30;
241;ARRET D'HUILE;45X62X7;9,00;
242;JOINT TORIQUE;46,99X5,33MM;4,90;
243;COMPARATEUR;0-10MM-P0,1MM-60MM;200,00;
244;BASE MAGNETIQUE;60KG;180,00;
245;BILLE;D 50MM;220,00;
246;GOUSSET DE GUIDE DE CHENILLE;1060X276X20 S275;1 061,71;
247;GUIDE DE CHENILLE;115X80X15 S275JR;22,28;
248;GASOIL;;11,83;
249;JOINT DE CULASSE;REF 61-36160-40 MERCEDES ATEGO 6 CYL;1 650,00;
250;CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE;220,00;
251;OBTURATEUR SIMPLE;R 54 LG=1000 MM;3 490,00;
252;REMISE EN ETAT REFREGIRANT D'HUILE;S/M;1 200,00;
253;BILLE;50 MM;220,00;
254;BILLE;50 MM;220,00;
255;BILLE;70MM;140,00;
256;ALESAGE ET FILTAGE CARRE;DROIT S/M;300,00;
257;CHARIOTAGE ET FILTAGE CARRE;DROIT S/M;300,00;
258;MEMBRANE PVC;FLAGON SR 1,2MM-20 MX2,1 MT;85,00;
259;OUTIL;M 8 2525 WWLNR;350,00;
260;OUTIL;M 8 S25S MNMG;450,00;
261;PLAQUETTE A SOUDER;080408 WNMG;40,00;
262;PLAQUETTE A SOUDER;160408;40,00;
263;REPARATION FLEXIBLE;JIC 2 COTES FF;137,80;
264;CONFECTION FLEXIBLE;"1""1/4 LG=4700 MMD/C 90°";1 785,09;
265;CONFECTION FLEXIBLE;3/4 LG=4600 MM FF METRIC;460,54;
266;DISTRIBUTEUR HYDRAULIQUE;S/M;4 063,11;
267;LOCATION VEHICULE DE PERSONNEL;PERIODE 01/2024;442,30;
268;CONFECTION FLEXIBLE;3/4 LG=5000 MM FF;368,50;
269;COUDE ORIENTABLE;3/4MX1/2F;79,00;
270;ADAPTEUR;3/4X1/2;18,00;
271;JOINT A GAZ;"1/2""";4,50;
272;VANNE A BILLE;"1""1/2 OMEGA";206,50;
273;CONFECTION FLEXIBLE;"1""1/2 LG= 5000 MM FF";1 421,00;
274;ADAPTEUR;"1""1/2 MM";69,00;
275;TUBE TECALENT;4X6 BLANC;5,00;
276;CONFECTION FLEXIBLE;"HP R2 1"" LG=6000 MM M/F BSP";676,00;
277;MANCHON;"1"" NOIR EE";14,00;
278;VANNE A BILLE;"1"" SIRAL";185,00;
279;MAMELON;"1"" NOIR EE";13,00;
280;MANOMETRE;60 BARS D 100;190,00;
281;MANOMETRE;100 BARS D 100;190,00;
282;CIMENT;CPJ 45 SUR PALLETTE;1 441,67;
283;TRANSPORT;;1 500,00;
284;CONFECTION FLEXIBLE;3/4 LG=5000 MM FF;825,23;
285;COUDE ORIENTABLE;3/4MX1/2F;121,10;
286;ADAPTEUR;3/4X1/2;28,00;
287;JOINT A GAZ;"1/2""";7,00;
288;VANNE A BILLE;"1""1/2 OMEGA";342,68;
289;CONFECTION FLEXIBLE;GI;1 004,82;
290;ADAPTEUR;"1""1/2 MM";110,31;
291;VIS;BTR 4X45;2,50;
292;CHEVILLE METALLIQUE;8X100;2,50;
293;VIS;TH 16X140;18,00;
294;CONFECTION BLOC;60 CONIQUE F X SQ 146 MX50 CARRE F;1 300,00;
295;CONFECTION NIPLE;50 CARRE M X M POUR BLOC;1 000,00;
296;CONFECTION TIGE DE VERIN;;300,00;
297;CONFECTION TIGE DE VERIN;D 25MM;200,00;
298;CONFECTION GOUJON;30X40;70,00;
299;TRANSFORMATION DE FIXATION DES PEUSONS;;200,00;
300;REFILTAGE D'UN MANCHON;TETE DE ROTATION;800,00;
301;CONFECTION D'UN ECROU;130 LG=60;600,00;
302;CONFECTION MORS;S/M;500,00;
303;CONFECTION BRIDE;170 MM;100,00;
